Family Separation Metrics

    llm                                                family         mean_sim_same_family    mean_sim_other_family    score_difference
--  -------------------------------------------------  -----------  ----------------------  -----------------------  ------------------
 0  Qwen_Qwen2.5-72B-Instruct                          Qwen                       0.457019                 0.485136          -0.0281172
 1  Qwen_Qwen2.5-7B-Instruct                           Qwen                       0.432959                 0.409667           0.0232914
 2  Qwen_Qwen2.5-Coder-32B-Instruct                    Qwen                       0.466787                 0.45269            0.0140977
 3  Qwen_Qwen2.5-VL-32B-Instruct                       Qwen                       0.45714                  0.424891           0.0322487
 4  Qwen_Qwen3-14B                                     Qwen                       0.440492                 0.316002           0.12449
 5  Qwen_Qwen3-235B-A22B                               Qwen                       0.393473                 0.272741           0.120732
 6  Qwen_Qwen3-32B                                     Qwen                       0.444291                 0.315289           0.129002
 7  deepseek-ai_DeepSeek-R1-0528                       deepseek-ai                0.586116                 0.324589           0.261526
 8  deepseek-ai_DeepSeek-V3-0324                       deepseek-ai                0.586116                 0.35015            0.235965
 9  google_gemini-2.0-flash-001                        google                     0.521261                 0.366185           0.155076
10  google_gemini-2.5-flash                            google                     0.466542                 0.306257           0.160286
11  google_gemma-3-27b-it                              google                     0.587985                 0.33863            0.249355
12  google_gemma-3-4b-it                               google                     0.454615                 0.241438           0.213177
13  meta-llama_Llama-3.2-11B-Vision-Instruct           meta-llama                 0.760685                 0.379229           0.381456
14  meta-llama_Llama-3.2-3B-Instruct                   meta-llama                 0.701237                 0.35813            0.343107
15  meta-llama_Llama-3.2-90B-Vision-Instruct           meta-llama                 0.778517                 0.343327           0.43519
16  meta-llama_Llama-3.3-70B-Instruct-Turbo            meta-llama                 0.719855                 0.328348           0.391508
17  meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8  meta-llama                 0.622935                 0.252071           0.370865
18  meta-llama_Llama-4-Scout-17B-16E-Instruct          meta-llama                 0.654005                 0.305563           0.348442
19  meta-llama_Meta-Llama-3-8B-Instruct                meta-llama                 0.714146                 0.344831           0.369314
20  meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo       meta-llama                 0.770552                 0.329053           0.441499
21  meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo        meta-llama                 0.732939                 0.380251           0.352688
22  microsoft_WizardLM-2-8x22B                         microsoft                  0.72291                  0.464053           0.258857
23  microsoft_phi-4                                    microsoft                  0.72291                  0.512726           0.210184
24  mistralai_Devstral-Small-2507                      mistralai                  0.548741                 0.328289           0.220452
25  mistralai_Mistral-7B-Instruct-v0.3                 mistralai                  0.494825                 0.426935           0.0678902
26  mistralai_Mistral-Nemo-Instruct-2407               mistralai                  0.542381                 0.42532            0.117062
27  mistralai_Mistral-Small-3.1-24B-Instruct-2503      mistralai                  0.608658                 0.386937           0.22172
28  mistralai_Mistral-Small-3.2-24B-Instruct-2506      mistralai                  0.435244                 0.368012           0.0672318
29  mistralai_Mixtral-8x7B-Instruct-v0.1               mistralai                  0.503817                 0.42888            0.074938
