Intra-LLM Dispersion Metrics

    llm                                                  cosine_low_overall    cosine_medium_overall    cosine_high_overall    mean_cosine_to_centroid_low    std_cosine_to_centroid_low    mean_cosine_to_centroid_medium    std_cosine_to_centroid_medium    mean_cosine_to_centroid_high    std_cosine_to_centroid_high    mean_cosine_to_centroid_overall    std_cosine_to_centroid_overall
--  -------------------------------------------------  --------------------  -----------------------  ---------------------  -----------------------------  ----------------------------  --------------------------------  -------------------------------  ------------------------------  -----------------------------  ---------------------------------  --------------------------------
 0  Qwen_Qwen3-32B                                                 0.845837                 0.931678               0.962843                       0.53129                      0.0379258                          0.473432                        0.0548071                        0.396912                      0.0793896                           0.408602                         0.082061
 1  Qwen_Qwen3-235B-A22B                                           0.80986                  0.881184               0.94391                        0.466453                     0.059588                           0.362277                        0.102362                         0.323326                      0.089733                            0.31957                          0.0990462
 2  Qwen_Qwen3-14B                                                 0.890715                 0.93882                0.979735                       0.556006                     0.0719794                          0.476029                        0.0584617                        0.445887                      0.0566057                           0.448065                         0.0651809
 3  Qwen_Qwen2.5-72B-Instruct                                      0.854714                 0.936884               0.968524                       0.555567                     0.0339108                          0.495989                        0.0449529                        0.419254                      0.0432317                           0.432635                         0.0564427
 4  Qwen_Qwen2.5-7B-Instruct                                       0.817654                 0.898125               0.918653                       0.560641                     0.0553661                          0.435037                        0.0476354                        0.312697                      0.069404                            0.34127                          0.0917048
 5  Qwen_Qwen2.5-Coder-32B-Instruct                                0.78416                  0.898247               0.914256                       0.554906                     0.0742639                          0.4306                          0.0494601                        0.290453                      0.0645275                           0.324414                         0.0988727
 6  google_gemini-2.5-flash                                        0.832812                 0.891259               0.954497                       0.511691                     0.0506714                          0.421587                        0.0404179                        0.37228                       0.068063                            0.371284                         0.0670218
 7  Qwen_Qwen2.5-VL-32B-Instruct                                   0.793985                 0.894401               0.907879                       0.53753                      0.0394415                          0.434099                        0.0363708                        0.297475                      0.0758881                           0.326228                         0.0942779
 8  google_gemma-3-4b-it                                           0.858695                 0.929882               0.959617                       0.555832                     0.0949253                          0.450989                        0.0798837                        0.374388                      0.0744187                           0.3933                           0.0995049
 9  google_gemma-3-27b-it                                          0.855422                 0.924213               0.963268                       0.55754                      0.0603648                          0.447248                        0.0670549                        0.399004                      0.0468611                           0.405861                         0.0689529
10  google_gemini-2.0-flash-001                                    0.799588                 0.90147                0.94006                        0.49727                      0.0359978                          0.438437                        0.0442814                        0.341306                      0.0550959                           0.353068                         0.0657169
11  meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8              0.908059                 0.946554               0.978919                       0.591169                     0.0453234                          0.513303                        0.0488287                        0.47256                       0.0526648                           0.479849                         0.0591244
12  meta-llama_Llama-4-Scout-17B-16E-Instruct                      0.904621                 0.95568                0.977398                       0.661405                     0.0578563                          0.57468                         0.0720922                        0.492806                      0.0727219                           0.51763                          0.0927505
13  meta-llama_Llama-3.3-70B-Instruct-Turbo                        0.902006                 0.947048               0.973449                       0.615747                     0.0453708                          0.516251                        0.0594056                        0.442244                      0.0418801                           0.465035                         0.0704946
